ID,Smiles
1,CN1C2=C(C=CC=N2)N=C1SCC3=CN=CC=C3
2,CC1=CC(=NN1C2=NC(=NC(=N2)NC3=CC=CC=C3)N4C(=CC(=N4)C)C)C
3,CN(C1=C(C=CC(=C1)O)O)N=O
4,CC[C@@H]1CC2=C(C=CC(=C2)O)C3=C1C4=C(C[C@H]3CC)C=C(C=C4)O
5,C1CCC2=C(C1)C(=C(C(=S)N2)C#N)C3=CC=CO3
6,C1(=O)C(=O)NC(=O)NC1=O
7,CCCCC(=O)N(CCOC)C1=NN=C(S1)C2=CC=C(C=C2)OC
8,C1CN(CCC1C2=NC3=CC=CC=C3N2)S(=O)(=O)C4=CC=C(C=C4)C(=O)N5CCOCC5
9,C1=C(C(=CC(=C1O)O)O)C[C@@H](C(=O)O)N
10,CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)CC2=C(C=C(C=C2)Cl)Cl
11,CC1CCCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4
12,C1=CC=C(C=C1)C(=O)OC2=CC=CC3=C2C=CC=C3O
13,CC(=O)NC1=NN=C(S1)SCC(=O)NCCOC2=CC=CC=C2
14,CC1=CC=C(C=C1)N2N=C3C(=[N+]2[O-])CCC4=[N+](ON=C43)[O-]
15,C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N)N
16,C1=CC2=C(C(=O)C=CC2=O)C(=C1)O
17,CC1=C(C2=C(CC[C@@](O2)(C)CCC[C@@H](C)CCC[C@@H](C)CCCC(C)C)C(=C1O)C)C
18,CCCCCCC/C=C\CCCCCCCCC(=O)O
19,CCOC(=O)C1=CC=C(C=C1)NCC2=CC3=C(C=C2)OCO3
20,COC1=CC(=C(C=C1)NC(=O)CN2CCN(CC2)C3=CC=C(C=C3)Cl)OC
21,CC(=O)N1C(C2=C(CCCC2=O)NC3=CC=CC=C31)C4=CN=CC=C4
22,C1CCN(CC1)C(=O)C2=CC3=C(C=C2)C(=O)NC4=C(SC(=S)N34)C(=O)NCC5CCCO5
23,CC1=CC2=C(C=C1)N(C3=C2CCCC3C(=O)N)C
24,CC(C)NC(=O)N1CCCC2(C1)CCN(CC2)C(=O)C3=CC=C(C=C3)OC
25,CC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)N4CCOCC4
26,COC(=O)CSC1=C(C2=C(CCCC2)C(=N1)N3CCCCC3)C#N
27,CC(=O)N1CCC[C@]2(C1)CCN(C2)C(=O)NC3=CC=C(C=C3)OC
28,CN1CCN(CC1)C2=NC=C3C(=N2)N(C(=O)C(=N3)C4=CC=C(C=C4)F)C5CC5
29,C1=CC=C2C(=C1)C3=NC4=CC=CC=C4N=C3N2CCN5C6=CC=CC=C6OC5=O
30,CCOC1=CC=CC=C1C(=O)NC2=C(C=CC(=C2)Cl)O
31,C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4C(F)(F)F
